service_type_id,service_name,service_description,service_category,is_active,created_at,updated_at
1,General practitioner visit,Consultation with a general practitioner,Primary Care,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
2,Specialist consultation,Medical consultation with a specialist doctor,Specialized Care,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
3,Health specialist consultation,"Consultation with healthcare specialists (dietitians, psychologists)",Specialized Care,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
4,Emergency care,Medical care for acute conditions requiring immediate attention,Emergency,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
5,Hospitalization,Inpatient hospital stay,Hospital Care,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
6,Day surgery,Surgical procedures not requiring overnight stay,Surgery,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
7,Dental check-up,Routine dental examination,Dental,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
8,Dental treatment,Treatment for dental conditions,Dental,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
9,Medical imaging (X-ray),Standard radiography imaging,Diagnostic,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
10,Medical imaging (MRI),Magnetic resonance imaging,Diagnostic,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
11,Medical imaging (CT Scan),Computed tomography scan,Diagnostic,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
12,Medical imaging (Ultrasound),Ultrasound imaging examination,Diagnostic,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
13,Laboratory test,Standard blood and urine tests,Diagnostic,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
14,Complex laboratory test,Specialized laboratory testing for specific conditions,Diagnostic,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
15,Physiotherapy session,Rehabilitative therapy for physical conditions,Rehabilitation,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
16,Prescription medications,Prescription drugs covered by insurance,Pharmacy,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
17,Preventive care,Preventive health services including vaccinations,Preventive,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
18,Maternity care,Prenatal and postnatal care services,Specialized Care,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
19,Mental health consultation,Psychiatric and psychological consultations,Mental Health,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
20,Optical - eye exam,Vision testing examination,Optical,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
21,Optical - glasses/contacts,Vision correction equipment,Optical,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
22,Alternative therapy,Complementary therapies like acupuncture or osteopathy,Alternative,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
23,Ambulance service,Emergency medical transport,Emergency,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
24,Home care service,Medical care provided at patient's residence,Home Care,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
25,Long-term care,Extended medical care for chronic conditions,Long-term Care,TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
